item_A,item_B,freqAB,supportAB,freqA,supportA,freqB,supportB,confidenceAtoB,confidenceBtoA,lift
Multifunktionsgeräte,Secure Printing,168,0.011576626240352812,5846,0.40283902976846747,1944,0.13395810363836824,0.028737598357851522,0.08641975308641976,0.21452676304996982
Multifunktionsgeräte,Mobile Abo Voice und Data,608,0.04189636163175303,5846,0.40283902976846747,7910,0.5450661521499449,0.10400273691412933,0.07686472819216181,0.1908075496963141
Druckgeräte WTO,Multifunktionsgeräte,321,0.02211962513781698,4213,0.2903114663726571,5846,0.40283902976846747,0.07619273676714931,0.05490933971946631,0.18913941087322456
Mobile Abo  Data,Mobile Abo Voice und Data,196,0.01350606394707828,1923,0.13251102535832415,7910,0.5450661521499449,0.10192407696307852,0.024778761061946902,0.18699395763441157
Multifunktionsgeräte,Internet,264,0.018191841234840134,5846,0.40283902976846747,3589,0.24731256890848952,0.04515908313376668,0.07355809417665089,0.18259922386102595
Smartdevice Sync Private,Mobile Abo Voice und Data,156,0.010749724366041897,1605,0.11059812568908489,7910,0.5450661521499449,0.097196261682243,0.019721871049304677,0.17832012004206196
Unpersönliche Mailbox,Multifunktionsgeräte,254,0.017502756339581035,3556,0.2450385887541345,5846,0.40283902976846747,0.07142857142857142,0.04344851180294218,0.17731293680660767
Multifunktionsgeräte,Software Schale 3a,194,0.013368246968026461,5846,0.40283902976846747,2790,0.19225468577728777,0.03318508381799521,0.06953405017921147,0.17261001303467616
Mobile Abo Voice und Data,Internet,336,0.023153252480705624,7910,0.5450661521499449,3589,0.24731256890848952,0.04247787610619469,0.09361939258846476,0.17175785401312268
eIAM,eIAM,215,0.014815325248070563,4290,0.29561742006615216,4290,0.29561742006615216,0.05011655011655012,0.05011655011655012,0.1695317891122087
Account,Mobile Abo Voice und Data,152,0.010474090407938258,1714,0.11810915104740904,7910,0.5450661521499449,0.08868144690781797,0.019216182048040452,0.16269850284781975
Mobile Abo Voice und Data,Software Schale 3a,244,0.01681367144432194,7910,0.5450661521499449,2790,0.19225468577728777,0.030847029077117567,0.08745519713261647,0.1604487763323047
Druckgeräte WTO,Druckgeräte WTO,194,0.013368246968026461,4213,0.2903114663726571,4213,0.2903114663726571,0.046047946831236655,0.046047946831236655,0.15861566684426925
Smartphone Sync,Mobile Abo Voice und Data,156,0.010749724366041897,1805,0.12437982359426682,7910,0.5450661521499449,0.08642659279778393,0.019721871049304677,0.15856165798753988
Support BA / UCC,Mobile Abo Voice und Data,152,0.010474090407938258,1806,0.12444873208379273,7910,0.5450661521499449,0.08416389811738649,0.019216182048040452,0.15441042850562736
Multifunktionsgeräte,Arbeitsplatz Software Schale 2,2201,0.151667585446527,5846,0.40283902976846747,37637,2.5935088202866594,0.3764967499144714,0.058479687541514995,0.14516887198126335
Secure Printing,Mobile Abo Voice und Data,152,0.010474090407938258,1944,0.13395810363836824,7910,0.5450661521499449,0.07818930041152264,0.019216182048040452,0.14344919438331433
Vorlagen Service,Arbeitsplatz Software Schale 2,733,0.05050992282249173,2012,0.1386438809261301,37637,2.5935088202866594,0.36431411530815117,0.019475516114461834,0.1404715158315458
Account,Arbeitsplatz Software Schale 2,623,0.042929988974641675,1714,0.11810915104740904,37637,2.5935088202866594,0.3634772462077013,0.01655286021733932,0.14014883749943302
Unpersönliche Mailbox,Mobile Abo Voice und Data,268,0.01846747519294377,3556,0.2450385887541345,7910,0.5450661521499449,0.07536557930258717,0.0338811630847029,0.13826868354477181
Desktop,Arbeitsplatz Software Schale 2,491,0.03383406835722161,1374,0.09468026460859978,37637,2.5935088202866594,0.3573508005822416,0.013045673140792304,0.1377866147155589
