Marktleistung,Verrechnungsbetrag,Periode,year
Arbeitsplatz Software Schale 3,0.0,2021.01,2018
Arbeitsplatz Software Schale 3,183200.0,2021.01,2018
Software Schale 3a,0.0,2021.01,2018
Software Schale 3a,0.0,2021.01,2018
Software Schale 3a,0.0,2021.01,2018
Internet,190.0,2021.01,2018
Internet,84.0,2021.01,2018
Internet,6.0,2021.01,2018
Internet,0.0,2021.01,2018
Internet,165.0,2021.01,2018
RAS-Wartung,180.0,2021.01,2018
Arbeitsplatz Software Schale 2,392.0,2021.01,2018
Arbeitsplatz Software Schale 2,0.0,2021.01,2018
Arbeitsplatz Software Schale 2,0.0,2021.01,2018
Arbeitsplatz Software Schale 2,133.0,2021.01,2018
Arbeitsplatz Software Schale 2,1729.0,2021.01,2018
Arbeitsplatz Software Schale 2,105.0,2021.01,2018
Arbeitsplatz Software Schale 2,47102.0,2021.01,2018
Arbeitsplatz Software Schale 2,17654.0,2021.01,2018
Arbeitsplatz Software Schale 2,138.0,2021.01,2018
Arbeitsplatz Software Schale 2,133.0,2021.01,2018
Arbeitsplatz Software Schale 2,1197.0,2021.01,2018
Arbeitsplatz Software Schale 2,27.0,2021.01,2018
Arbeitsplatz Software Schale 2,275.0,2021.01,2018
Arbeitsplatz Software Schale 2,44.0,2021.01,2018
Arbeitsplatz Software Schale 2,4522.0,2021.01,2018
Arbeitsplatz Software Schale 2,532.0,2021.01,2018
Secure Messaging Extern,0.0,2021.01,2018
Arbeitsplatz Software Schale 3,50.0,2021.01,2018
Arbeitsplatz Software Schale 3,50.0,2021.01,2018
Arbeitsplatz Software Schale 3,125.0,2021.01,2018
Arbeitsplatz Software Schale 3,8832.0,2021.01,2018
Arbeitsplatz Software Schale 3,725.0,2021.01,2018
Arbeitsplatz Software Schale 3,0.0,2021.01,2018
Arbeitsplatz Software Schale 3,2832.0,2021.01,2018
Arbeitsplatz Software Schale 3,6825.0,2021.01,2018
Software Schale 3a,0.0,2021.01,2018
Software Schale 3a,0.0,2021.01,2018
Software Schale 3a,0.0,2021.01,2018
Software Schale 3a,0.0,2021.01,2018
Internet,38.0,2021.01,2018
RAS-Wartung,240.0,2021.01,2018
Arbeitsplatz Software Schale 2,233800.0,2021.01,2018
Arbeitsplatz Software Schale 2,107080.0,2021.01,2018
Arbeitsplatz Software Schale 2,11571.0,2021.01,2018
Arbeitsplatz Software Schale 2,33117.0,2021.01,2018
Arbeitsplatz Software Schale 2,0.0,2021.01,2018
Arbeitsplatz Software Schale 2,181000.0,2021.01,2018
Arbeitsplatz Software Schale 2,139165.0,2021.01,2018
Arbeitsplatz Software Schale 2,798.0,2021.01,2018
Arbeitsplatz Software Schale 2,547274.0,2021.01,2018
Arbeitsplatz Software Schale 2,101200.0,2021.01,2018
Arbeitsplatz Software Schale 2,1064.0,2021.01,2018
Arbeitsplatz Software Schale 2,5.0,2021.01,2018
Arbeitsplatz Software Schale 2,266.0,2021.01,2018
Arbeitsplatz Software Schale 2,133.0,2021.01,2018
Arbeitsplatz Software Schale 2,4522.0,2021.01,2018
Arbeitsplatz Software Schale 2,33975.0,2021.01,2018
Arbeitsplatz Software Schale 2,125.0,2021.01,2018
Arbeitsplatz Software Schale 2,102400.0,2021.01,2018
Arbeitsplatz Software Schale 2,0.0,2021.01,2018
Arbeitsplatz Software Schale 2,798.0,2021.01,2018
Arbeitsplatz Software Schale 2,62111.0,2021.01,2018
Arbeitsplatz Software Schale 2,300.0,2021.01,2018
